"Id","Name","Type","Tags","UsageStart","UsageEnd","BillingPeriodName","InvoiceName","InstanceName","InstanceId","InstanceLocation","Currency","UsageQuantity","BillableQuantity","PretaxCost","IsEstimated","MeterId","MeterDetails","AdditionalProperties"
"/subscriptions/2807da60-5d5e-4f5f-b247-1f4bbd1833f4/providers/Microsoft.Consumption/usageDetails/c15a082d5b92322f7bea9622f5f794bf","c15a082d5b92322f7bea9622f5f794bf","Microsoft.Consumption/usageDetails","System.Collections.Generic.Dictionary`2[System.String,System.String]","05-04-2018 00:00:00","05-04-2018 23:59:59","201805-1",,"Azstarm-Ip","/subscriptions/2807da60-5d5e-4f5f-b247-1f4bbd1833f4/resourceGroups/NCFXRG/providers/Microsoft.Network/publicIPAddresses/Azstarm-Ip","southcentralus","USD","3","3","0.0120005417851822","True","f114cb19-ea64-40b5-bcd7-aee474b62853",,
"/subscriptions/2807da60-5d5e-4f5f-b247-1f4bbd1833f4/providers/Microsoft.Consumption/usageDetails/89c5568b7016d827ea581c13db8c15fc","89c5568b7016d827ea581c13db8c15fc","Microsoft.Consumption/usageDetails","System.Collections.Generic.Dictionary`2[System.String,System.String]","05-04-2018 00:00:00","05-04-2018 23:59:59","201805-1",,"AXAZST2-1-ip1","/subscriptions/2807da60-5d5e-4f5f-b247-1f4bbd1833f4/resourceGroups/NCFXRG/providers/Microsoft.Network/publicIPAddresses/AXAZST2-1-ip1","southcentralus","USD","3","3","0.0120005417851822","True","f114cb19-ea64-40b5-bcd7-aee474b62853",,
"/subscriptions/2807da60-5d5e-4f5f-b247-1f4bbd1833f4/providers/Microsoft.Consumption/usageDetails/eae041dc8a6a0f2a136fcd8080a9b26c","eae041dc8a6a0f2a136fcd8080a9b26c","Microsoft.Consumption/usageDetails","System.Collections.Generic.Dictionary`2[System.String,System.String]","05-04-2018 00:00:00","05-04-2018 23:59:59","201805-1",,"AXAZST-IP","/subscriptions/2807da60-5d5e-4f5f-b247-1f4bbd1833f4/resourceGroups/NCFXRG/providers/Microsoft.Network/publicIPAddresses/AXAZST-IP","southcentralus","USD","3","3","0.0120005417851822","True","f114cb19-ea64-40b5-bcd7-aee474b62853",,
"/subscriptions/2807da60-5d5e-4f5f-b247-1f4bbd1833f4/providers/Microsoft.Consumption/usageDetails/67db8c30594e0a0a1ffdc627e059d8a9","67db8c30594e0a0a1ffdc627e059d8a9","Microsoft.Consumption/usageDetails","System.Collections.Generic.Dictionary`2[System.String,System.String]","05-04-2018 00:00:00","05-04-2018 23:59:59","201805-1",,"ACCRST-3-publicIp0","/subscriptions/2807da60-5d5e-4f5f-b247-1f4bbd1833f4/resourceGroups/NCFXRG/providers/Microsoft.Network/publicIPAddresses/ACCRST-3-publicIp0","southcentralus","USD","3","3","0.0120005417851822","True","f114cb19-ea64-40b5-bcd7-aee474b62853",,
"/subscriptions/2807da60-5d5e-4f5f-b247-1f4bbd1833f4/providers/Microsoft.Consumption/usageDetails/5a960f252da169d35184d6235ba8f50b","5a960f252da169d35184d6235ba8f50b","Microsoft.Consumption/usageDetails","System.Collections.Generic.Dictionary`2[System.String,System.String]","05-04-2018 00:00:00","05-04-2018 23:59:59","201805-1",,"ACCRST-2-publicIp0","/subscriptions/2807da60-5d5e-4f5f-b247-1f4bbd1833f4/resourceGroups/NCFXRG/providers/Microsoft.Network/publicIPAddresses/ACCRST-2-publicIp0","southcentralus","USD","3","3","0.0120005417851822","True","f114cb19-ea64-40b5-bcd7-aee474b62853",,
"/subscriptions/2807da60-5d5e-4f5f-b247-1f4bbd1833f4/providers/Microsoft.Consumption/usageDetails/a5341439a4aba91434bc068299aa7cc7","a5341439a4aba91434bc068299aa7cc7","Microsoft.Consumption/usageDetails","System.Collections.Generic.Dictionary`2[System.String,System.String]","05-04-2018 00:00:00","05-04-2018 23:59:59","201805-1",,"ACCRST-1-publicIp0","/subscriptions/2807da60-5d5e-4f5f-b247-1f4bbd1833f4/resourceGroups/NCFXRG/providers/Microsoft.Network/publicIPAddresses/ACCRST-1-publicIp0","southcentralus","USD","3","3","0.0120005417851822","True","f114cb19-ea64-40b5-bcd7-aee474b62853",,
"/subscriptions/2807da60-5d5e-4f5f-b247-1f4bbd1833f4/providers/Microsoft.Consumption/usageDetails/4bd9639e3950f98bbfff82aeeae7efcb","4bd9639e3950f98bbfff82aeeae7efcb","Microsoft.Consumption/usageDetails","System.Collections.Generic.Dictionary`2[System.String,System.String]","05-04-2018 00:00:00","05-04-2018 23:59:59","201805-1",,"qfy4lbchiohweclm","/subscriptions/2807da60-5d5e-4f5f-b247-1f4bbd1833f4/resourceGroups/NCFXRG/providers/Microsoft.Storage/storageAccounts/qfy4lbchiohweclm","ussouthcentral","USD","0.17424","0.17424","0.00865632898422024","True","d23a5753-ff85-4ddf-af28-8cc5cf2d3882",,
"/subscriptions/2807da60-5d5e-4f5f-b247-1f4bbd1833f4/providers/Microsoft.Consumption/usageDetails/e1f166d169709dc1bf21ddcd31843896","e1f166d169709dc1bf21ddcd31843896","Microsoft.Consumption/usageDetails","System.Collections.Generic.Dictionary`2[System.String,System.String]","05-04-2018 00:00:00","05-04-2018 23:59:59","201805-1",,"qfy4lbchiohweclm","/subscriptions/2807da60-5d5e-4f5f-b247-1f4bbd1833f4/resourceGroups/NCFXRG/providers/Microsoft.Storage/storageAccounts/qfy4lbchiohweclm","ussouthcentral","USD","2.7131","2.7131","0.000985483707764595","True","c80a3636-2edb-4248-bcb1-04ef818a75ac",,
"/subscriptions/2807da60-5d5e-4f5f-b247-1f4bbd1833f4/providers/Microsoft.Consumption/usageDetails/413e85497e63d35a3a6e7cb9d9d84e00","413e85497e63d35a3a6e7cb9d9d84e00","Microsoft.Consumption/usageDetails",,"05-04-2018 00:00:00","05-04-2018 23:59:59","201805-1",,"azp1cc96926c865a5c01","/subscriptions/2807da60-5d5e-4f5f-b247-1f4bbd1833f4/resourceGroups/default-storage-southeastasia/providers/Microsoft.ClassicStorage/storageAccounts/azp1cc96926c865a5c01","apsoutheast","USD","0.0056","0.0056","0.0000024443474465299","True","bb20dfda-6d18-4bb1-b7fc-86a05d9cfb8d",,
"/subscriptions/2807da60-5d5e-4f5f-b247-1f4bbd1833f4/providers/Microsoft.Consumption/usageDetails/0b20005ee05c41ce9da7bca79578aa52","0b20005ee05c41ce9da7bca79578aa52","Microsoft.Consumption/usageDetails","System.Collections.Generic.Dictionary`2[System.String,System.String]","05-04-2018 00:00:00","05-04-2018 23:59:59","201805-1",,"qfy4lbchiohweclm","/subscriptions/2807da60-5d5e-4f5f-b247-1f4bbd1833f4/resourceGroups/NCFXRG/providers/Microsoft.Storage/storageAccounts/qfy4lbchiohweclm","ussouthcentral","USD","0.0062","0.0062","0.00000274033149171271","True","b9e5e77c-a0b3-4a2c-9b8b-57fa54f31c52",,
