"Name","Type","Tags","UsageStart","UsageEnd","InvoiceName","InstanceName","InstanceLocation","Currency","Subscriptionid","BillableQuantity","PretaxCost","IsEstimated","MeterId","UsageQuantity","TipcoCost"
"fc0cf41b1bcb6ee8aab8c359900e3c17","Microsoft.Consumption/usageDetails","System.Collections.Generic.Dictionary`2[System.String,System.String]","02-04-2018 00:00:00","02-04-2018 23:59:59","","ACCRST-3","southcentralus","USD","2807da60-5d5e-4f5f-b247-1f4bbd1833f4","0.01517","0.00132067821360186","True","9995d93a-7d35-4d3f-9c69-7a7fea447ef4","0.01517","0.106189996935427"
"bfc0bf877943932ea3efd78d99a6c937","Microsoft.Consumption/usageDetails","System.Collections.Generic.Dictionary`2[System.String,System.String]","05-04-2018 00:00:00","05-04-2018 23:59:59","","AXAZST2-1","southcentralus","USD","2807da60-5d5e-4f5f-b247-1f4bbd1833f4","0.015186","0","True","32c3ebec-1646-49e3-8127-2cafbd3a04d8","0.015186","0.10630199778825"
"5ca8859ca1543667335c0f59bb1db223","Microsoft.Consumption/usageDetails","System.Collections.Generic.Dictionary`2[System.String,System.String]","14-03-2018 00:00:00","14-03-2018 23:59:59","201804-118109190558312","qfy4lbchiohweclm","ussouthcentral","USD","2807da60-5d5e-4f5f-b247-1f4bbd1833f4","0.0152","0.00000728318160038332","False","b9e5e77c-a0b3-4a2c-9b8b-57fa54f31c52","0.0152","0.1064000017941"
"18e1f38f5cc2a2915665abcc2a3cc738","Microsoft.Consumption/usageDetails","","18-03-2018 00:00:00","18-03-2018 23:59:59","201804-118109190558312","azp1cc96926c865a5c01","apsoutheast","USD","2807da60-5d5e-4f5f-b247-1f4bbd1833f4","0.0152","0.0000072814371257485","False","bb20dfda-6d18-4bb1-b7fc-86a05d9cfb8d","0.0152","0.1064000017941"
"0e76057e843347fb3ae760bfa3081ff1","Microsoft.Consumption/usageDetails","System.Collections.Generic.Dictionary`2[System.String,System.String]","30-03-2018 00:00:00","30-03-2018 23:59:59","","qfy4lbchiohweclm","ussouthcentral","USD","2807da60-5d5e-4f5f-b247-1f4bbd1833f4","0.0152","0.0000067182320441989","True","b9e5e77c-a0b3-4a2c-9b8b-57fa54f31c52","0.0152","0.1064000017941"
"124fe14753a52b041df56086d895896e","Microsoft.Consumption/usageDetails","System.Collections.Generic.Dictionary`2[System.String,System.String]","16-03-2018 00:00:00","16-03-2018 23:59:59","201804-118109190558312","qfy4lbchiohweclm","ussouthcentral","USD","2807da60-5d5e-4f5f-b247-1f4bbd1833f4","0.0152","0.00000728318160038332","False","b9e5e77c-a0b3-4a2c-9b8b-57fa54f31c52","0.0152","0.1064000017941"
"ad409e7239a294caeff01ee8dbc3f2fe","Microsoft.Consumption/usageDetails","","24-03-2018 00:00:00","24-03-2018 23:59:59","","azp1cc96926c865a5c01","apsoutheast","USD","2807da60-5d5e-4f5f-b247-1f4bbd1833f4","0.0152","0.00000663465735486687","True","bb20dfda-6d18-4bb1-b7fc-86a05d9cfb8d","0.0152","0.1064000017941"
"47a422f0a46933a1c9f1edfd8e2ab46d","Microsoft.Consumption/usageDetails","","15-03-2018 00:00:00","15-03-2018 23:59:59","201804-118109190558312","azp1cc96926c865a5c01","apsoutheast","USD","2807da60-5d5e-4f5f-b247-1f4bbd1833f4","0.0152","0.0000072814371257485","False","bb20dfda-6d18-4bb1-b7fc-86a05d9cfb8d","0.0152","0.1064000017941"
"0caa73d272d83d1423505fd250ba7951","Microsoft.Consumption/usageDetails","System.Collections.Generic.Dictionary`2[System.String,System.String]","05-04-2018 00:00:00","05-04-2018 23:59:59","","AXAZST","southcentralus","USD","2807da60-5d5e-4f5f-b247-1f4bbd1833f4","0.015234","0","True","32c3ebec-1646-49e3-8127-2cafbd3a04d8","0.015234","0.10663800034672"
"6ee858514589f5ed101b4995f6711b46","Microsoft.Consumption/usageDetails","","12-03-2018 00:00:00","12-03-2018 23:59:59","201804-118109190558312","azp1cc96926c865a5c01","apsoutheast","USD","2807da60-5d5e-4f5f-b247-1f4bbd1833f4","0.0153","0.00000732934131736527","False","bb20dfda-6d18-4bb1-b7fc-86a05d9cfb8d","0.0153","0.107100000604987"
"fc3f68cd06d46ec6a63aec1cca8bd108","Microsoft.Consumption/usageDetails","System.Collections.Generic.Dictionary`2[System.String,System.String]","05-04-2018 00:00:00","05-04-2018 23:59:59","","AXAZST","southcentralus","USD","2807da60-5d5e-4f5f-b247-1f4bbd1833f4","0.015591","0.00135732986343221","True","9995d93a-7d35-4d3f-9c69-7a7fea447ef4","0.015591","0.10913700144738"
"4db2b74f9b4d11b7ceaf8c24d4c8699b","Microsoft.Consumption/usageDetails","System.Collections.Generic.Dictionary`2[System.String,System.String]","03-04-2018 00:00:00","03-04-2018 23:59:59","","ACCRST-1","southcentralus","USD","2807da60-5d5e-4f5f-b247-1f4bbd1833f4","0.015686","0.00136560042574547","True","9995d93a-7d35-4d3f-9c69-7a7fea447ef4","0.015686","0.109801998361945"
